"","UBI.PA.Open","UBI.PA.High","UBI.PA.Low","UBI.PA.Close","UBI.PA.Volume","UBI.PA.Adjusted"
"2022-01-04",42.98,43.259998,41.540001,41.59,422725,41.59
"2022-01-05",41.5,42.16,41.119999,41.330002,594441,41.330002
"2022-01-06",41.049999,41.75,40.439999,41.43,370862,41.43
"2022-01-07",41.439999,41.720001,40.77,40.939999,389427,40.939999
"2022-01-10",41.080002,43.27,40.900002,42.759998,768638,42.759998
"2022-01-11",42.98,44.830002,42.98,44.700001,816473,44.700001
"2022-01-12",44.860001,45.360001,44.450001,45.049999,530677,45.049999
"2022-01-13",44.900002,46.25,44.73,46.029999,696471,46.029999
"2022-01-14",46,46.529999,45.619999,46.009998,414717,46.009998
"2022-01-17",46.040001,46.970001,45.07,45.09,514195,45.09
"2022-01-18",45,50.880001,43.98,50.439999,1961131,50.439999
"2022-01-19",49.98,53.080002,49.400002,52,1572056,52
"2022-01-20",52.900002,54.560001,52,53.439999,812085,53.439999
"2022-01-21",53,53.639999,51.740002,52.259998,718199,52.259998
"2022-01-24",52.200001,53.080002,49.799999,49.82,954329,49.82
"2022-01-25",50.060001,50.880001,47.529999,47.529999,935781,47.529999
"2022-01-26",47.650002,49.779999,47.650002,48.540001,489118,48.540001
"2022-01-27",48.240002,49.299999,47.299999,48.880001,492930,48.880001
"2022-01-28",49.07,49.490002,48.380001,48.790001,525891,48.790001
"2022-01-31",49.07,50.959999,48.779999,50.740002,546615,50.740002
"2022-02-01",51.799999,52.68,51.34,52.279999,909136,52.279999
"2022-02-02",52.119999,52.139999,51.060001,51.619999,634451,51.619999
"2022-02-03",51.5,52.040001,50.5,50.860001,482916,50.860001
"2022-02-04",51.200001,51.82,49.560001,50.759998,373622,50.759998
"2022-02-07",50.98,51.02,49.75,50.560001,361098,50.560001
"2022-02-08",50.540001,50.900002,49.310001,50.439999,392139,50.439999
"2022-02-09",50.639999,51.900002,47.939999,49.75,1013421,49.75
"2022-02-10",50.060001,51.18,49.84,50.740002,469044,50.740002
"2022-02-11",50.419998,50.939999,49.459999,50.400002,444213,50.400002
"2022-02-14",49.57,51.5,48.970001,50.439999,586560,50.439999
"2022-02-15",50.299999,50.82,48.48,48.490002,712366,48.490002
"2022-02-16",48.73,48.880001,45.529999,45.66,946154,45.66
"2022-02-17",45.709999,46.110001,43.77,44.080002,663295,44.080002
"2022-02-18",43.790001,46.939999,43.25,45.639999,1206700,45.639999
"2022-02-21",45.599998,45.77,44.720001,44.990002,479909,44.990002
"2022-02-22",44.23,47.740002,44.040001,47.290001,662550,47.290001
"2022-02-23",47.23,48.209999,46.540001,46.540001,475059,46.540001
"2022-02-24",44.75,46.18,44.389999,45.5,873534,45.5
"2022-02-25",45.869999,46.700001,45.400002,46.540001,503749,46.540001
